"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0071222",1.64252976607798e-06,0.999999288146574,64,156,"cellular response to lipopolysaccharide","BP"
"GO:0030593",1.58010243519157e-05,0.999995770128613,25,50,"neutrophil chemotaxis","BP"
"GO:0006955",2.62228726337312e-05,0.999985023503801,103,300,"immune response","BP"
"GO:0002224",0.000113406213257867,0.99997726304005,16,27,"toll-like receptor signaling pathway","BP"
"GO:0007165",0.000119899546956561,0.999909891843558,306,1049,"signal transduction","BP"
"GO:0032760",0.000164682559124861,0.999928231978929,41,100,"positive regulation of tumor necrosis factor production","BP"
"GO:0007254",0.000188852602282824,0.999925651279287,34,76,"JNK cascade","BP"
"GO:0010506",0.000280313684107924,0.99989377430402,30,67,"regulation of autophagy","BP"
"GO:0043123",0.000284155502872997,0.999838498940405,75,211,"positive regulation of canonical NF-kappaB signal transduction","BP"
"GO:0032964",0.000364658665053837,0.999965415927446,9,12,"collagen biosynthetic process","BP"
"GO:0045944",0.000376416242265926,0.99970865093512,325,1108,"positive regulation of transcription by RNA polymerase II","BP"
"GO:0031334",0.000460062491528339,0.999842513291806,24,51,"positive regulation of protein-containing complex assembly","BP"
"GO:0031663",0.000740398079721481,0.999784199865834,18,36,"lipopolysaccharide-mediated signaling pathway","BP"
"GO:0032743",0.000812246011881639,0.999764091211079,18,35,"positive regulation of interleukin-2 production","BP"
"GO:0042100",0.0008206583717986,0.999794791213168,15,28,"B cell proliferation","BP"
"GO:0002407",0.000844945666873719,0.999867550691956,10,16,"dendritic cell chemotaxis","BP"
"GO:0001782",0.000914443047302878,0.999773327034965,15,27,"B cell homeostasis","BP"
"GO:0140206",0.000923300245675523,1,5,5,"dipeptide import across plasma membrane","BP"
"GO:0050853",0.00113805733645262,0.999637812578328,19,39,"B cell receptor signaling pathway","BP"
"GO:0015671",0.00134233948940739,0.999850828618101,7,11,"oxygen transport","BP"
"GO:0010269",0.00150769802975672,0.999848977669126,7,10,"response to selenium ion","BP"
"GO:1903896",0.00175775641512619,0.999915211039389,6,7,"positive regulation of IRE1-mediated unfolded protein response","BP"
"GO:0042113",0.00176824318274352,0.99945710885429,17,34,"B cell activation","BP"
"GO:0000122",0.00177518190726753,0.998625454342425,249,856,"negative regulation of transcription by RNA polymerase II","BP"
"GO:0016480",0.00255682557525297,1,4,4,"negative regulation of transcription by RNA polymerase III","BP"
"GO:0051896",0.00314782551939391,0.999223136938599,12,22,"regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"GO:0033119",0.00329808966726424,0.999841470840354,5,6,"negative regulation of RNA splicing","BP"
"GO:1990830",0.00347267018425759,0.998258549593155,35,92,"cellular response to leukemia inhibitory factor","BP"
"GO:0006659",0.00365238152305908,1,4,4,"phosphatidylserine biosynthetic process","BP"
"GO:0034976",0.0037214234307451,0.998121078877714,35,93,"response to endoplasmic reticulum stress","BP"
"GO:0007586",0.00393349208157289,0.999315748892148,8,14,"digestion","BP"
"GO:0032729",0.00413853520965683,0.998049479809232,29,75,"positive regulation of type II interferon production","BP"
"GO:0046641",0.00417770516833467,0.999786322405826,5,6,"positive regulation of alpha-beta T cell proliferation","BP"
"GO:0072197",0.00420355623523591,0.999784648643033,5,6,"ureter morphogenesis","BP"
"GO:0034142",0.00424376518873277,0.99870893100752,14,29,"toll-like receptor 4 signaling pathway","BP"
"GO:0031401",0.00429883013297635,0.999778455252446,5,6,"positive regulation of protein modification process","BP"
"GO:0060369",0.00432658391925273,1,4,4,"positive regulation of Fc receptor mediated stimulatory signaling pathway","BP"
"GO:0039530",0.00434632919347873,1,4,4,"MDA-5 signaling pathway","BP"
"GO:0060628",0.00435237788532119,0.999774957374547,5,6,"regulation of ER to Golgi vesicle-mediated transport","BP"
